PEnumName,EnumerationValues,DataType,ISO22057GUID,
PEnum_EndOfLifeRoute,,,,
,LANDFILL,IfcLabel,20v0LLEUHCQhd$kQP2tlLU,
,REUSE,IfcLabel,35JcXEjJDBABo83lIN7zaS,
,RECYCLING,IfcLabel,1PJA1KBRr6nQGeeCL4I9a6,
,RECOVERYASSECONDARYFUEL,IfcLabel,28BoacJrX4gBnSE28pM_c$,
,ENERGYRECOVERY,IfcLabel,25mGLqr2T7g9iC8vhYELjg,
,COMPOSTING,IfcLabel,2Vc_KRbBD7gRqhQmgHUjku,
,INCINERATION,IfcLabel,1jVvU4sdDEpeTZE5dGr1U2,
PEnum_OutputFlowModule,,,,
,A5,IfcLabel,1N34rICm1EHew1RiaWnlHy,
,B2,IfcLabel,1kOX8pW9fCegKO34_KMhMn,
,B3,IfcLabel,25sxFfAgzE7wBoK$W7$Yft,
,B4,IfcLabel,2YGLoQAe1F_9LerwCl$Rl5,
,B5,IfcLabel,2Motpd1R5AkgRcuS4F45xr,
,B6,IfcLabel,28cnYnQ317iP$oeb7462nL,
,B7,IfcLabel,1XrkQVZWf1j8i5u1SMC6vJ,
,C1,IfcLabel,2JsOJppzDFvg1Q_daZMnf6,
,C3,IfcLabel,2GDydl7TLFOP0JTwuIUiMs,
,C4,IfcLabel,1v$H$lbH1Ao9Gd7j1ejUqc,
